image_name|comment_number|caption
156246815.jpg| 3| A man in red shorts is about to kick a football .
156246815.jpg| 4| Man about to kick football on a field .
1576185717.jpg| 0| a girl in a red top bowls a cricket ball at a boy in a yellow shirt who is in front of the wicket holding a bat .
1576185717.jpg| 1| A young boy and girl playing baseball in a grassy field .
1576185717.jpg| 2| A boy and yellow and girl in red playing cricket .
1576185717.jpg| 3| Two young children playing cricket in a field .
1576185717.jpg| 4| A boy and girl playing cricket
175299591.jpg| 0| A young white boy with an orange shirt and white and black hat sitting next to a black steel ball in a large field .
175299591.jpg| 1| A boy in an orange shirt and baseball cap sits in a grassy field next to a black ball .
175299591.jpg| 2| A young boy in a orange shirt watching something .
175299591.jpg| 3| A young boy is sitting on the grass .
175299591.jpg| 4| A boy sitting down at the park .
1791491934.jpg| 0| An Asian man wearing a blue long-sleeve shirt and patterned pants is working with an old looking machine .
1791491934.jpg| 1| A older Japanese man trying to fix a small red and gray machine .
1791491934.jpg| 2| A man in camouflage pants sits next to machinery .
1791491934.jpg| 3| Asian man in blue shirt works with a machine
1791491934.jpg| 4| A worker is sitting down near a saw .
1812525037.jpg| 0| The two young children are in black and white face paint and costumes while riding in a stroller , they are being pushed by a man also in face paint and a costume
1812525037.jpg| 1| Two parents with two children and others dressed up like the music group Kiss .
1812525037.jpg| 2| The Kiss-costumed adults are pushing the strollers of the Kiss-costumed kids .
1812525037.jpg| 3|" Two little kids in strollers have face makeup on like the band "" Kiss "" ."
1812525037.jpg| 4| Two babies are dressed up as Kiss along with their parent 's .
1891331926.jpg| 0| Brazilian mime is playing the racket as a guitar for his solo performance on the streets of Brazil in this picture .
1891331926.jpg| 1| A man in a black suit and straw hat holds a tennis racket as if it were a guitar .
1891331926.jpg| 2| A man in a tuxedo pretending to play a tennis racket like a guitar .
1891331926.jpg| 3| Man in tuxedo and straw hat holding tennis racket
1891331926.jpg| 4| A man in a tuxedo is playing a tennis racket .
19212715.jpg| 0| A person kayaks in the middle of the ocean on a gray day .
19212715.jpg| 1| A person rows a boat over a large body of water .
19212715.jpg| 2| person in a boat with a paddle in hand
19212715.jpg| 3| a kayaker kayaks through the water .
19212715.jpg| 4| A person kayaking in the ocean .
19786861.jpg| 0| A figure sitting on pavement looks in the direction of a child as the latter crouches slightly and stares at the ground .
19786861.jpg| 1| A man videotapes while a man nearby watches a young boy looking down at his shadow .
19786861.jpg| 2| A young boy in a blue shirt stands next to a woman sitting on the ground .
19786861.jpg| 3| A person sits on the ground in front of a child wearing blue .
19786861.jpg| 4| A child in a blue jersey stands outside .
2085726719.jpg| 0| Two women dressed for cold weather in jackets and gloves look at something on a cellphone screen .
2085726719.jpg| 1| Two teen girls are looking at a small electronic device while wearing winter coats .
2085726719.jpg| 2| Two girls holding drinks and looking at something on a cellphone .
2085726719.jpg| 3| Two girls bundled up in winter coats pose for a picture .
2085726719.jpg| 4| Two young girls huddle to look at a cellphone .
2098174172.jpg| 0| The man wears a green hat and jacket while standing in front of a mountain .
2098174172.jpg| 1| A hiker is standing in before the mountain holding two walking sticks .
2098174172.jpg| 2| A man with two ski poles stands near a mountaintop .
2098174172.jpg| 3| A man stands in front of snow covered mountains .
2098174172.jpg| 4| A hiker is posing in front of snowy mountains .
2119206841.jpg| 0| A sleepy looking woman holding a baby who seems to be in a state of awe .
2119206841.jpg| 1| A sleepy mother tries to keep up with her kid .
2119206841.jpg| 2| Mother lifting her child onto a spin roll toy .
2119206841.jpg| 3| A woman is helping a baby stand up .
2119206841.jpg| 4| A lady is taking care of her child .
2136992638.jpg| 0| Two dogs , one brown , the other black and white , are playing on a sidewalk .
2136992638.jpg| 1| A brown and a black dog are wearing collars and playing with each other .
2136992638.jpg| 2| Two dogs , one brown and one black , playing with each other .
2136992638.jpg| 3| The brown dog with a red collar is biting the black dog .
2136992638.jpg| 4| A brown dog biting a black dog on a sidewalk
2142232919.jpg| 0| A black dog carries an orange ball , walking on the ground covered in leaves .
2142232919.jpg| 1| A black dog with an orange toy in its mouth is walking in fall leaves .
2142232919.jpg| 2| Black dog with orange ball approaches camera across dead leaves .
2142232919.jpg| 3| The black dog walks through brown leaves with an orange ball .
2142232919.jpg| 4| A black lab puppy runs with an orange ball on an autumn day .
2191598990.jpg| 0| A navy wearing a gray sweatshirt and blue jeans is laying on a full build bid with another girl who is wearing a black sweater white belts with studs and black jeans
2191598990.jpg| 1| Two girls , wearing their street clothes , are laying on a pulled out sofa-bed .
2191598990.jpg| 2| Two girls are sleeping on a floor mat in an apartment or house .
2191598990.jpg| 3| two girls are laying down together on a couch
2191598990.jpg| 4| Two girl in hoodies lay on a bed .
2201734906.jpg| 0| A blond-haired woman talks to a man wearing a tank top and shorts .
2201734906.jpg| 1| A man and a woman are talking while waiting at a crosswalk .
2201734906.jpg| 2| A young blond women and a man waiting to cross the street .
2201734906.jpg| 3| A man and women waiting at a crosswalk
2201734906.jpg| 4| A young couple crossing the street .
2221241506.jpg| 0| A man with glasses looking down at something while sitting on something made of concrete .
2221241506.jpg| 1| A man wearing a black top and thick glasses is on a piece of construction .
2221241506.jpg| 2| A man with glasses looks at something amid scaffolding .
2221241506.jpg| 3| A man is touching a large metal structure .
2221241506.jpg| 4| A man surrounded by staging is working .
2225530026.jpg| 0| A construction crew is waiting around with yellow and orange jackets .
2225530026.jpg| 1| A group of people wearing jackets are gathered on the sidewalk .
2225530026.jpg| 2| Many people moving into a new home in the early winter days .
2225530026.jpg| 3| White people with coats , stand near white Penske truck .
2225530026.jpg| 4| A group of people preparing for a move .
2243943940.jpg| 0| Two people , a man with a blue shirt and a woman in a hoodie , are playing board games and drinking from mason jars .
2243943940.jpg| 1| A group of young adults gathers around on the floor to play a complex board game .
2243943940.jpg| 2| A couple play a board game with friends while drinking apple cider .
2243943940.jpg| 3| A couple sits down with friends to play a board game .
2243943940.jpg| 4| A couple is playing a board game .
2260537673.jpg| 0| An older gentleman wearing an elaborate headdress holding a white dog that has had its fur dyed several colors .
2260537673.jpg| 1| A strange looking man is wearing a head ornament and has a dog with pink and purple hair .
2260537673.jpg| 2| A man and his dog are dressed up in colorful costumes in the street in front of a bakery .
2260537673.jpg| 3| People in costume are gathered on a city street .
2260537673.jpg| 4| colorful people and a dog
2275928920.jpg| 0| Two people dressed warmly and sporting fur hats are outdoors at a table festooned with various items in front of an orange building with prominent ducts .
2275928920.jpg| 1| a man and woman wearing winter clothing try to sell various items on a table outside .
2275928920.jpg| 2| Two people tend to their table of products at a street market .
2275928920.jpg| 3| An elderly couple set out their goods for sale .
2275928920.jpg| 4| An old lady is selling goods on the street .
2286235203.jpg| 0| A woman is looking down and wearing a white hair piece that looks like a wedding veil .
2286235203.jpg| 1| A young woman is wearing a bridal veil outside a church .
2286235203.jpg| 2| Bride with a white veil looking down .
2286235203.jpg| 3| A young bride purses her lips .
2286235203.jpg| 4| The bride is standing outside .
2295447147.jpg| 0| A brown dog in two black collars running through a grassy field .
2295447147.jpg| 1| A light brown dog with a dark collar bounding through grass .
2295447147.jpg| 2| A brown dog in mid-run in grass .
2295447147.jpg| 3| A dog running in a field .
2295447147.jpg| 4| A brown dog in a field .
229954873.jpg| 0| Two men , one wearing a gray shirt , the other wearing a black shirt appear in a store while another accesses an upper shirt with a woman in a green hat in the foreground .
229954873.jpg| 1| Several men are inside a store among stocked shelves and many bags of grains .
229954873.jpg| 2| man reaching for a type of an item in a general store .
229954873.jpg| 3| Two young men help another man in a store back room .
229954873.jpg| 4| Three men working in a shop by stocking items
2313598755.jpg| 0| A father and a son are tucked tightly together while sleeping .
2313598755.jpg| 1| A man with closed eyes holding a baby with closed eyes .
2313598755.jpg| 2| Man cuddling with a child on an orange pillow .
2313598755.jpg| 3| A father and his son cuddle while sleeping .
2313598755.jpg| 4| A father and son asleep in their blankets .
2322046574.jpg| 0| Two guys standing on a soccer field , one is drinking something from a water bottle and talking to each other .
2322046574.jpg| 1| Two male soccer players standing on a field , with bottles of liquid at their feet , while one takes a sip .
2322046574.jpg| 2| Two male soccer players , wearing burgundy pants and socks , are drinking from blue bottles .
2322046574.jpg| 3| Two players from the same team drinking in the field .
2322046574.jpg| 4| Two male soccer players are resting to take a drink .
2332673042.jpg| 0| Two adorable children who were dressed very similar by their mother are enjoying a train ride .
2332673042.jpg| 1| Two young children riding a bus , one is holding a bottle and the other is holding a can .
2332673042.jpg| 2| Two children , wearing vests and pants , sit on a bus with drinks in hand .
2332673042.jpg| 3| Two children are riding on a bus , and one is holding a drink .
2332673042.jpg| 4| Two baby are playing on train .
2377496811.jpg| 0| There are two guys on motorcycles while a crowd watches on behind a barricade .
2377496811.jpg| 1| Motorcycle stunt performer prepares for his next trick as the crowd looks on .
2377496811.jpg| 2| Two men are sitting on their bikes , surrounded by a crowd .
2377496811.jpg| 3| A crowd of people looking at two guys on motorcycles .
2377496811.jpg| 4| A crowd of people watching a motorcycle event .
2428094795.jpg| 0| A little girl with purple hat is riding a tricycle along paved road by some farmland .
2428094795.jpg| 1| A little girl with a purple fuzzy hat is riding a tricycle outside .
2428094795.jpg| 2| A young girl in blue hat and coat is riding a tricycle .
2428094795.jpg| 3| Little kid in blue coat and hat riding a tricycle .
2428094795.jpg| 4| A child in a fuzzy blue hat on a tricycle .
2429366041.jpg| 0| A woman with brown hair , white blouse , and a red purse is wearing headphones while a black-haired woman in a black and white blouse smiles next to her .
2429366041.jpg| 1| A woman in a white blouse and a woman in a white blouse with black bows listen to iPods while dancing .
2429366041.jpg| 2| Two women are smiling as they appear to be listening to portable music devices .
2429366041.jpg| 3| A young woman is holding a music player with earphones as she walks .
2429366041.jpg| 4| A woman dancing at the club .
2432061076.jpg| 0| A dog in the water near the beach with an urban horizon behind .
2432061076.jpg| 1| The large brown and white dog splashes on the shore .
2432061076.jpg| 2| A brown dog runs through the water on a beach .
2432061076.jpg| 3| Tan and white dog running in water .
2432061076.jpg| 4| A dog running in the surf .
243380205.jpg| 0| A boy wearing only swim trunks jumps off a dock into a large , blue lake that has a forest in the far background .
243380205.jpg| 1| Young boy jumping off of a trampoline into a lake .
243380205.jpg| 2| Young child jumping off of the pier into the lake .
243380205.jpg| 3| A young boy is jumping into a large body of water .
243380205.jpg| 4| A boy jumping off a trampoline into a lake .
2447284966.jpg| 0| A small boy dressed in a black sweatshirt with a logo on it , holds a red bat in front of blue stadium seats .
2447284966.jpg| 1| A little boy is holding a skinny baseball bat while standing between two rows of blue seats .
2447284966.jpg| 2| A young boy in a team sweatshirt is in a sports stadium near blue seats swinging a red bat .
2447284966.jpg| 3| The boy wearing a black shirt and blue jeans is holding a red baseball bat .
2447284966.jpg| 4| A young boy practices his bat swing while in the stands with blue seats .
2451253577.jpg| 0|" A man pulls a rope that is attached to a floating boat marked "" Avocet Market Drayton "" ."
2451253577.jpg| 1| A man dressed in blue pulling on a rope that 's attached to a boat .
2451253577.jpg| 2| A man pulling a houseboat up to the shore with a rope .
2451253577.jpg| 3| A man in a jumpsuit and a headband is docking a boat .
2451253577.jpg| 4| A man is working outdoors trying to do his job .
245460010.jpg| 0| Several people in matching biking outfits are standing with their bicycles .
245460010.jpg| 1| Bicyclists have stopped and are talking about something .
245460010.jpg| 2| Brightly dressed cyclists stop to have a few words .
245460010.jpg| 3| cycling team standing around in sunny tropical area
245460010.jpg| 4| a group of cyclists in matching clothing converse .
246704758.jpg| 0| An oriental man in a green shirt is leaning on a bike in front of brightly lit food stand that is outside on a street .
246704758.jpg| 1| A man sits near a bicycle while people make selections from a street vendor in the background .
246704758.jpg| 2| An Asian man is sitting outside a food kiosk at night in the city .
246704758.jpg| 3| Asian man resting against something in front of a street vendor
246704758.jpg| 4| A man is sitting near a food stand .
2476656359.jpg| 0| Young children outside playing with computer junk on the ground .
2476656359.jpg| 1| Children playing with or cleaning up miscellaneous items .
2476656359.jpg| 2| Two children are building something on the floor .
2476656359.jpg| 3| Children playing with broken office equipment .
2476656359.jpg| 4| Kids building and destroying objects .
2519483556.jpg| 0| Three pre-teen girls wearing sunglasses dance and sing in a family home .
2519483556.jpg| 1| Three children play together and act like celebrities with their props .
2519483556.jpg| 2| Three girls pretend to be rock musicans in a posh living room .
2519483556.jpg| 3| Three children are on a rug pretending to play instruments .
2519483556.jpg| 4| The three girls have pillows .
2537624884.jpg| 0| Ten workers in hard hats and reflective jackets stand holding cable one in front of the other on a stairway .
2537624884.jpg| 1| A team of rescuers wearing reflective vests descend a staircase carrying orange life preservers .
2537624884.jpg| 2| Emergency workers with hoses lined up and descending down stairs .
2537624884.jpg| 3| A group of construction workers going down a flight of stairs .
2537624884.jpg| 4| A line of workers walking down stairs .
2549819434.jpg| 0| The back of a female as she swings , with a cloudy sky in the background .
2549819434.jpg| 1| A girl is having a good time midair swinging on a swing .
2549819434.jpg| 2| One woman in a black shirt swinging very high on a swing .
2549819434.jpg| 3| the silhouette of a young girl swinging up to the sky .
2549819434.jpg| 4| A woman in a black t-shirt swinging on a swing .
2549950283.jpg| 0| A man and woman stand on a boulder by the river as he sweeps her off her feet .
2549950283.jpg| 1| A man in a navy coat leans in to kiss a woman in a cream coat .
2549950283.jpg| 2| A couple embracing while standing on a rock .
2549950283.jpg| 3| An Asian man and woman embrace playfully .
2549950283.jpg| 4| A couple is posing for a picture outside .
2562463210.jpg| 0| a boy with spiderman armbands is in the swimming pool by the wall at the edge .
2562463210.jpg| 1| A young boy wearing Spider-Man water-wings at the edge of the pool .
2562463210.jpg| 2| A boy in a pool wearing Spiderman floaties .
2562463210.jpg| 3| A boy with spiderman swimming is in a pool .
2562463210.jpg| 4| The boy is in the swimming pool .
2622177159.jpg| 0| A little girl wearing a pink hat is looking over the pool watching someone performing on stage
2622177159.jpg| 1| Little girl with pink had looking over the rail watching porpoise show .
2622177159.jpg| 2| A girl in a pink hat looks out at a pool of water .
2622177159.jpg| 3| A little girl in a pink hat gazes over a pool .
2622177159.jpg| 4| A girl reaches up to look into a pool .
2636668640.jpg| 0| A little asian girl in a yellow shirt and blue shirt standing in front of a little boy with a sleeveless shirt and shorts on .
2636668640.jpg| 1| A young boy and young girl both wearing shorts stand face on the street while an adult 's arm can be seen nearby .
2636668640.jpg| 2| A little boy and a little girl talking and holding the items they just got from a nearby food cart .
2636668640.jpg| 3| Two small children , one boy and one girl , standing near a street vendor talking .
2636668640.jpg| 4| Two young Asian children stand together on a public street .
266547962.jpg| 0| A cowboy tries to adapt with society 's desperate infantile need for technology .
266547962.jpg| 1| Three men and one woman sit at a table outdoors having drinks .
266547962.jpg| 2| A group of friends are deciding what they should eat today .
266547962.jpg| 3| Friends gather around a white computer .
266547962.jpg| 4| A group of people sitting outdoors .
2666307991.jpg| 0| Three gentlemen in business-formal attire drink and socialize at an indoor event , with two of the men looking off to the left and one of the men holding a bottle smiles for the camera .
2666307991.jpg| 1| There are three men wearing dress clothes and standing around .
2666307991.jpg| 2| Three males in collared shirts and ties celebrating .
2666307991.jpg| 3| Three well dressed guys enjoying a social event .
2666307991.jpg| 4| Three young men dancing at a party and drinking .
2674742398.jpg| 0| A man dressed in blue pants and a blue shirt poses in an alleyway with a camera and a piece of paper .
2674742398.jpg| 1| A man with a camera wearing a blue shirt and jeans stands between two tall buildings .
2674742398.jpg| 2| A man standing in a narrow alley posing for a picture .
2674742398.jpg| 3| A man wearing a blue shirt stands between two walls .
2674742398.jpg| 4| A man with a camera stands in an alleyway .
2713036593.jpg| 0| Male in a striped short-sleeve shirt , jeans , and brown shoes falling asleep while sitting down .
2713036593.jpg| 1| A man in jeans and a striped short shirt is sitting on a stoop and sleeping .
2713036593.jpg| 2| A man in a striped shirt and blue jeans asleep on a stoop .
2713036593.jpg| 3| A man is sitting on the floor , sleeping .
2713036593.jpg| 4| A male taking a nap on a hot afternoon .
2735517817.jpg| 0| Three men sitting on the sidewalk up against the building , with piles of dirt and an orange cone indicating the work area .
2735517817.jpg| 1| Three men in vests sitting down near a pile of dirt with their backs facing a wall .
2735517817.jpg| 2| Three construction workers sitting in front of a building in the shade .
2735517817.jpg| 3| Workers rest against the wall after a long day .
2735517817.jpg| 4| Three construction workers rest on job site .
2749228652.jpg| 0| A man is holding a microphone and another man is playing a guitar and jumping on a stage .
2749228652.jpg| 1| A man wearing a pink shirt and white pants in mid jump playing a guitar .
2749228652.jpg| 2| A band is rocking out on stage , looking completely focused .
2749228652.jpg| 3| A man is playing his guitar while jumping up in down .
2749228652.jpg| 4| Two men and their band are performing live on stage .
2750832671.jpg| 0| A black dog plays with a white and blue colored stuffed animal .
2750832671.jpg| 1| A doberman jumping in the air playing with a toy
2750832671.jpg| 2| A black and tan dog plays with a stuffed toy .
2750832671.jpg| 3| Black dog playing with a white and blue toy .
2750832671.jpg| 4| A dog playing with its toy .
2766630484.jpg| 0| A dog with its tongue out is trying to look up the tree .
2766630484.jpg| 1| A dog is perched up against a tree looking at the top .
2766630484.jpg| 2| A dog looking up a tree with his tongue hanging out .
2766630484.jpg| 3| A brown , black , and white dog barking up a tree .
2766630484.jpg| 4| A brown and black dog by a tree
2775249812.jpg| 0| A girl in a white coat stands in the middle of a fountain and a boy in the background laughs .
2775249812.jpg| 1| A girl wearing a white coat stands in the middle of sprinklers .
2775249812.jpg| 2| A wet young girl in a white coat stands among water fountains .
2775249812.jpg| 3| a woman in a white coat is standing amidst some fountains
2775249812.jpg| 4| A girl wearing a white coat standing in a fountain .
2803337740.jpg| 0| A tailor uses a long pole to search for a certain piece of fabric suspended above him .
2803337740.jpg| 1| A man in a white shirt and gray pants is working in an outdoor clothing store .
2803337740.jpg| 2| A man is offering different kinds of clothes for sale .
2803337740.jpg| 3| A man tending to the clothing in his outdoor shop .
2803337740.jpg| 4| A man reaching up towards hanging clothing .
281754914.jpg| 0| The little boy in a yellow , striped shirt stands in some tall grass .
281754914.jpg| 1| Boy in striped shirt standing among the tall grasses .
281754914.jpg| 2| A kid hides from the camera in the overgrown bushes .
281754914.jpg| 3| A little boy standing in very tall green grass .
281754914.jpg| 4| A boy in a yellow polo standing in tall grass
2830880811.jpg| 0| The tan and white dog is running outside with a tennis ball in its mouth .
2830880811.jpg| 1| A small dog with a tennis ball in its mouth playing in a driveway .
2830880811.jpg| 2| A dog is running while catching a tennis ball in its mouth .
2830880811.jpg| 3| a small dog catches a tennis ball in its mouth .
2830880811.jpg| 4| A dog catches a tennis ball .
28318644.jpg| 0| A little boy in a dark t-shirt and jeans is taking great enjoyment standing near an outdoor fountain .
28318644.jpg| 1| A small boy reaches up into a spray of water from a fountain , while a rainbow forms behind him .
28318644.jpg| 2| A small child standing under a spraying water fountain .
28318644.jpg| 3| A little boy looking at the shooting water fountain .
28318644.jpg| 4| A young child points at a large spray fountain .
2834103050.jpg| 0| People dressed in bathing suits , dresses and shorts are on the beach , near an exhibit .
2834103050.jpg| 1| A woman with a green sunshade is passing a sales merchant on the beach .
2834103050.jpg| 2| Many people are walking along the beach on a clear day .
2834103050.jpg| 3| People standing on a beach , one under a green umbrella
2834103050.jpg| 4| A beach with people standing on the sand
2839807428.jpg| 0| A dog is jumping up to catch a Frisbee in front of white tents at a dog show .
2839807428.jpg| 1| A collie catches a white Frisbee at an obedience competition .
2839807428.jpg| 2| Black dog jumping into the air to catch a Frisbee .
2839807428.jpg| 3| A dog jumps to catch a Frisbee as a man watches .
2839807428.jpg| 4| Dog jumping high in the air to catch a Frisbee .
2853205396.jpg| 0| A little white and brown dog is running in the water .
2853205396.jpg| 1| A black and white dog is jumping into the water .
2853205396.jpg| 2| A white and black dog leaps into water .
2853205396.jpg| 3| a white dog runs across the water .
2853205396.jpg| 4| A dog runs and plays in the water .
2854291706.jpg| 0| A man and a woman are wearing black and looking at something on the sidewalk .
2854291706.jpg| 1| A man puts his arm around a woman as they look at signs on the street .
2854291706.jpg| 2| Interracial couple stand together looking at a display on street
2854291706.jpg| 3| a man and women looking at magazines in a window .
2854291706.jpg| 4| A man and a woman standing in front of signs .
2869439070.jpg| 0| A young boy standing in the sand next to a sculpture of a pyramid that made out of the sand .
2869439070.jpg| 1| A young boy is standing next to a sand sculpture of a pyramid .
2869439070.jpg| 2| A little boy is standing by a sand castle .
2869439070.jpg| 3| A young boy stands near a sand pyramid .
2869439070.jpg| 4| A child standing near a sand pyramid
2937461473.jpg| 0| Group of asian children dressed in white shirts and hats performing with a crowd looking on .
2937461473.jpg| 1| A bunch of children in white are doing a dance routine while another person jumps rope .
2937461473.jpg| 2| A small child jumping rope as other children clap their hands over their heads nearby .
2937461473.jpg| 3| A crowd of children in white shirts , black shorts and white hats jumping rope .
2937461473.jpg| 4| Several children are all engaging in excersise
2944836001.jpg| 0| A man wearing glasses and his black and white dog wearing a black collar are playing with a tennis ball .
2944836001.jpg| 1| Man with dog who is jumping to catch tennis ball .
2944836001.jpg| 2| Man holding a ball while a dog jumps up for it
2944836001.jpg| 3| A man is playing with a black and white dog .
2944836001.jpg| 4| A black dog leaps for a ball held by a man .
3003303050.jpg| 0| A group of six women , with children sitting on the floor behind them , are at work in individual work spaces with privacy dividers between them .
3003303050.jpg| 1| People completing a ballot while children are sitting behind them on the floor watching .
3003303050.jpg| 2| Adults are voting while children wait behind them .
3003303050.jpg| 3| The people standing up along the wall are voting .
3003303050.jpg| 4| Six people casting their ballot in an election .
301175450.jpg| 0| People , including one in a wheelchair , are crossing a city street in a crosswalk .
301175450.jpg| 1| A man in a gray jacket walking down the sidewalk in the city .
301175450.jpg| 2| A group of people walking under a streetlight that is green .
301175450.jpg| 3| Pedestrians pass by a firetruck and street workers .
301175450.jpg| 4| People are walking down a busy city street .
3018255724.jpg| 0| Two football teams are playing against each other , one team wearing burgundy with gold helmets and the other team wearing black and yellow uniforms with black helmets .
3018255724.jpg| 1| There is a group of football players , several in maroon and gold and the others in yellow and black on a grass field with a referee in white and black .
3018255724.jpg| 2| The maroon team faces off against the yellow team at the line of scrimmage in a youth football game .
3018255724.jpg| 3| Young boys line up at the line of scrimmage during a football game on a gray day .
3018255724.jpg| 4| Football players square off before a play .
3069701112.jpg| 0| Men dressed in naval whites are saluting a Navy office walking down a red carpet .
3069701112.jpg| 1| Navy men stand along a red carpet and salute as their superior walks by .
3069701112.jpg| 2| A group of men in navy uniforms saluting each other .
3069701112.jpg| 3| Several navy men saluting an officer walking by .
3069701112.jpg| 4| The troops salute their captain .
3093533301.jpg| 0|" A line of protesters are walking in the street , holding signs that say "" Our Children , Our Future "" ."
3093533301.jpg| 1| The people walking in the street are demonstrating for children 's rights .
3093533301.jpg| 2| Women and men protesting outside on a sunny day with signs .
3093533301.jpg| 3| A demonstration for a very strongly held point of view .
3093533301.jpg| 4| A crowd of protesters standing in a street .
3101796900.jpg| 0| A lack dog and a brown and white dog run on a gravel surface with something red underfoot .
3101796900.jpg| 1| A large brown dog and a larger black dog playing together with a ball .
3101796900.jpg| 2| A brown dog and a black dog are playing with a red Frisbee .
3101796900.jpg| 3| A large black dog in the dirt with a small brown dog .
3101796900.jpg| 4| Two dogs are chasing a ball .
3144705706.jpg| 0| An child playing in a pile of snow on a street while an adult watches .
3144705706.jpg| 1| Two young girls dressed in winter clothes play in a mound of snow .
3144705706.jpg| 2| Two children play in the snow by the side of the road .
3144705706.jpg| 3| Child playing in a snow mound in the street .
3144705706.jpg| 4| Children play in a pile of snow .
3150666056.jpg| 0| A construction worker stands beside a large yellow tube , next to scaffolding on a city street .
3150666056.jpg| 1| A man is working in a construction site on the dirt removal section .
3150666056.jpg| 2| The man works in a big plant and he is checking their work .
3150666056.jpg| 3| A man stands in the street outside of scaffolding .
3150666056.jpg| 4| A man looks down toward the ground .
3154641421.jpg| 0| Basketball player with 32 on jersey jumps to make a shot , crowd in background .
3154641421.jpg| 1| A black man playing basketball with orange shoes
3154641421.jpg| 2| A basketball player preparing to shoot the ball
3154641421.jpg| 3| A basketball player takes a shot .
3154641421.jpg| 4| Miami basketball player shooting
3193022401.jpg| 0| Two dancers on a dance floor with a rainbow of colored lights projected onto the floor and Christmas trees in the background .
3193022401.jpg| 1| A dance couple dancing on a dance floor with strobe lights flashing .
3193022401.jpg| 2| A man and a woman performing at a christmas dinner .
3193022401.jpg| 3| Two dancers wearing mainly black prepare to dance .
3193022401.jpg| 4| Ballroom dancers in the midst of a dance .
